model,calculusType,cell,alpha_0,beta_0,r_nucleus,r_domain,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF91.mixedField,13.4811,5.06373,0.0185712,0.0441678,0.123615,0.128848,1,0,0,1.92428,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF92.mixedField,13.0011,4.91205,0.0188301,0.0453365,0.127985,0.137751,1,0,0,1.89926,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF93.mixedField,12.8071,5.02003,0.0221277,0.0524803,0.146595,0.15548,1,0,0,1.95026,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF94.mixedField,12.8836,4.85316,0.0183422,0.0398382,0.104868,0.0520357,1,0,0,1.94637,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF95.mixedField,12.5466,4.78722,0.0192946,0.0446517,0.122628,0.126067,1,0,0,1.93053,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF96.mixedField,12.7383,5.0342,0.022451,0.0526856,0.146088,0.14008,1,0,0,1.9448,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF97.mixedField,12.1807,4.66255,0.0208704,0.0492047,0.136877,0.138175,1,0,0,1.92315,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF98.mixedField,12.3046,4.83697,0.0203154,0.0463273,0.12596,0.130844,1,0,0,1.93884,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF99.mixedField,12.0637,4.80468,0.0214476,0.0530877,0.152852,0.196945,1,0,0,1.90237,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF100.mixedField,11.7866,4.78311,0.0207559,0.0437147,0.112825,0.0938619,1,0,0,1.96758,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF101.mixedField,11.81,4.66667,0.0210904,0.0465645,0.123898,0.104638,1,0,0,1.94778,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF102.mixedField,11.5162,4.69181,0.0226764,0.0468103,0.119306,0.053701,1,0,0,1.99314,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF103.mixedField,11.7309,4.7744,0.0227819,0.0498759,0.131974,0.125012,1,0,0,1.97185,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF104.mixedField,11.6679,4.72591,0.0195843,0.040558,0.103578,0.0690406,1,0,0,1.92612,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF105.mixedField,11.3346,4.83525,0.0228933,0.0448899,0.110915,0.0439046,1,0,0,2.01242,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF106.mixedField,11.4385,4.76264,0.0270654,0.0570635,0.147376,0.0784932,1,0,0,1.96454,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF107.mixedField,10.9366,4.6262,0.0218152,0.0439088,0.110193,0.0766537,1,0,0,1.96847,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF108.mixedField,10.9088,4.73565,0.0234059,0.0478691,0.121307,0.102926,1,0,0,1.97256,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF109.mixedField,10.6532,4.53922,0.0241807,0.0557746,0.152829,0.200316,1,0,0,1.93169,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF110.mixedField,10.7012,4.50254,0.0223447,0.0464148,0.118758,0.100073,1,0,0,1.951,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF111.mixedField,10.6732,4.50046,0.0219713,0.0439664,0.109952,0.0679743,1,0,0,1.95838,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF112.mixedField,10.6754,4.59816,0.0239141,0.0490927,0.124695,0.100527,1,0,0,1.97201,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF113.mixedField,10.4881,4.5661,0.0239291,0.046164,0.112989,0.0549863,1,0,0,1.99915,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF114.mixedField,10.2604,4.33024,0.0210482,0.041126,0.101404,0.0581166,1,0,0,1.93974,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF115.mixedField,10.2111,4.56787,0.0230541,0.04484,0.110267,0.0678055,1,0,0,1.98116,0.073,0,0
MKM,rapidMKM_Kase2008,HSG,0.312,0.073,4.611,0.365,Spectrum,ParticleFieldBF116.mixedField,10.3824,4.56037,0.0238228,0.051751,0.136243,0.16814,1,0,0,1.94546,0.073,0,0
