model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG263.mixedField,7.30483,4.0664,0.0349426,0.0536549,0.11733,0.0385481,1,0,0,3.00274,0.000593401,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG264.mixedField,7.48233,3.9739,0.034977,0.0562352,0.125391,0.0417267,1,0,0,2.81511,0.000615488,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG265.mixedField,7.44038,3.86036,0.032345,0.0525503,0.117722,0.0419764,1,0,0,2.93622,0.000750568,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG266.mixedField,7.19651,3.84615,0.0330036,0.0520457,0.115078,0.0399798,1,0,0,3.00483,0.0007249,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG267.mixedField,7.4699,3.84627,0.0274972,0.0436974,0.0969393,0.0371408,1,0,0,3.40425,0.0010484,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG268.mixedField,7.4369,3.87594,0.029687,0.0473054,0.105067,0.0385282,1,0,0,3.20917,0.000888258,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG269.mixedField,7.09966,3.70472,0.031423,0.0501472,0.111452,0.040385,1,0,0,3.05879,0.000840276,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG270.mixedField,7.48899,3.97532,0.0300656,0.0472761,0.104404,0.0375846,1,0,0,3.249,0.000836328,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG271.mixedField,7.21405,3.70948,0.0310467,0.0502299,0.112313,0.0409834,1,0,0,3.0229,0.000861955,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG272.mixedField,7.27944,3.86871,0.0323842,0.0512648,0.113537,0.0397625,1,0,0,3.03606,0.000744272,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG273.mixedField,7.14758,3.92482,0.0342379,0.052919,0.116031,0.0391341,1,0,0,3.01224,0.000648626,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG274.mixedField,7.53843,3.90563,0.0281304,0.0447226,0.0992318,0.037318,1,0,0,3.35018,0.000981462,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG275.mixedField,7.35449,3.92685,0.0299693,0.0467118,0.102777,0.0372297,1,0,0,3.29092,0.000854205,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG276.mixedField,7.00008,3.68665,0.0297437,0.046508,0.102465,0.038254,1,0,0,3.26559,0.000943897,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG277.mixedField,7.2118,3.84991,0.0295354,0.0457785,0.10049,0.036968,1,0,0,3.34597,0.000906846,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG278.mixedField,7.54105,3.88138,0.0314728,0.0513324,0.115196,0.0409833,1,0,0,2.97694,0.000788712,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG279.mixedField,7.14315,3.88366,0.0297975,0.0454283,0.099056,0.036078,1,0,0,3.40415,0.000877873,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG280.mixedField,7.32799,3.97793,0.0330841,0.0515934,0.113542,0.0388142,1,0,0,3.05904,0.000685754,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG281.mixedField,7.26985,3.85795,0.034582,0.0553356,0.123126,0.0417205,1,0,0,2.85041,0.000653702,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG282.mixedField,7.75426,4.15009,0.0302866,0.0475984,0.105092,0.0369695,1,0,0,3.25699,0.000778693,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG283.mixedField,7.07915,3.64432,0.0274962,0.043295,0.0956677,0.0374465,1,0,0,3.41268,0.00112535,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG284.mixedField,7.07108,3.8902,0.0296151,0.0445469,0.0966225,0.0352283,1,0,0,3.48297,0.000884293,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG285.mixedField,7.12933,3.7366,0.0287841,0.0450613,0.0993272,0.0375311,1,0,0,3.34614,0.000992943,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG286.mixedField,7.16669,3.76112,0.0298897,0.0471086,0.104137,0.0384866,1,0,0,3.23264,0.000913002,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG287.mixedField,7.33721,3.8106,0.030481,0.0488453,0.108755,0.0396182,1,0,0,3.11688,0.000860252,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG288.mixedField,7.07681,3.62884,0.0270258,0.0425429,0.0939951,0.0372018,1,0,0,3.45736,0.00117221,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG289.mixedField,7.49467,3.79571,0.0307452,0.0506452,0.114171,0.0415341,1,0,0,2.98498,0.000851509,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG290.mixedField,7.17106,3.90689,0.0342261,0.0533003,0.117231,0.0396486,1,0,0,2.9807,0.000653958,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG291.mixedField,7.31465,3.97413,0.0334129,0.0521276,0.114737,0.0390344,1,0,0,3.03954,0.000672812,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldBG292.mixedField,7.37174,3.86523,0.0291239,0.0459282,0.101552,0.0376354,1,0,0,3.29966,0.000925727,0,0
