model,calculusType,cell,alpha_0,beta_0,r_nucleus,D_t,radiation_type,particle,meanEnergy,meanEnergy_sigma,meanLET,meanLET_sigma,LETd,LETd_sigma,nFractions,timeSpacing,fracDeliveryTime,alpha,beta,alpha_sigma,beta_sigma
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG129.mixedField,5.81089,3.09488,0.0314299,0.0475336,0.103318,0.040261,1,0,0,3.20539,0.00106346,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG130.mixedField,5.89974,3.24197,0.0326941,0.0486083,0.104963,0.0391838,1,0,0,3.21319,0.000912109,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG131.mixedField,5.95782,3.19787,0.0304373,0.0456302,0.0988439,0.0386027,1,0,0,3.33504,0.00107803,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG132.mixedField,5.76872,3.1825,0.034558,0.0536538,0.117859,0.0863357,1,0,0,3.07813,0.000830318,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG133.mixedField,5.85971,3.18638,0.0337682,0.0509136,0.110532,0.0409208,1,0,0,3.07002,0.000874139,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG134.mixedField,5.80791,3.14422,0.0332485,0.0501059,0.108759,0.0408305,1,0,0,3.10669,0.000917661,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG135.mixedField,5.88761,3.18248,0.0325638,0.0490828,0.106545,0.0403796,1,0,0,3.15325,0.000943693,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG136.mixedField,5.96221,3.21477,0.0317504,0.0478284,0.103798,0.0395592,1,0,0,3.21507,0.000982339,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG137.mixedField,5.95711,3.23707,0.033318,0.0502937,0.109236,0.040457,1,0,0,3.10082,0.000881719,0,0
LEMIII,rapidLEM_Russo2011,HSG,0.312,0.073,4.611,30,Spectrum,ParticleFieldQG138.mixedField,5.71376,3.12353,0.0329304,0.0489505,0.105695,0.0399316,1,0,0,3.17315,0.000950501,0,0
