H,He,Li,Be,B,C,N,O,F,Ne
67.9109,72.5838,32.0938,21.4246,0.668196,0.480132,0.251958,0.0272658,0.203268,0.00510165
67.3554,71.525,29.9452,18.3877,0.687117,0.417882,0.251001,0.0229315,0.280946,0.739561
67.6904,70.9029,29.8892,17.6168,0.6736,0.467142,0.273852,0.022701,0.390158,1.82777
67.5418,70.6641,29.5593,15.8877,0.794078,0.50676,0.251527,0.0281926,0.394019,0.014651
67.7229,69.9855,29.5887,14.5465,0.767648,0.43079,0.262456,0.0271274,0.157663,0.191896
67.737,69.5807,27.0261,16.8114,0.695883,0.42295,0.21722,0.0228935,0.168983,0.0254265
67.5583,68.792,26.5547,14.7841,0.544069,0.431606,0.268581,0.022842,0.227561,0.00668048
67.6756,68.5033,25.9274,14.0553,0.675365,0.409347,0.211613,0.0209187,0.112527,0.0587025
67.5204,68.607,25.6099,14.1758,0.617205,0.439101,0.236169,0.0238789,0.179391,0.00551487
67.645,67.4388,24.6838,13.171,0.468678,0.414672,0.25957,0.0240341,0.216071,0.00834939
67.6702,66.8596,24.7694,12.5982,0.539849,0.425566,0.247378,0.022794,0.2145,0
67.7202,66.5989,23.89,12.9275,0.483125,0.432896,0.241049,0.0275829,0.172341,0
67.4637,66.1617,24.5723,13.9881,0.695914,0.399964,0.241333,0.026962,0.110319,0.0151309
67.3347,65.1363,22.3997,13.135,0.439279,0.444957,0.240229,0.0212396,0.181913,0.0046469
67.5087,64.6896,22.7224,12.8307,0.607047,0.439344,0.249512,0.022645,0.183862,0
67.5549,64.2475,20.7629,11.5135,0.426477,0.392021,0.237456,0.0247588,0.186357,0.0168912
67.4783,63.672,20.9327,11.3838,0.724617,0.39687,0.229497,0.02126,0.137513,0.186725
67.3712,63.4309,20.5986,10.4995,0.601135,0.408845,0.248001,0.0254195,0.138286,0.00894878
67.3544,62.2597,19.9865,8.92882,0.56303,0.465553,0.264936,0.0218409,0.153674,0.0375035
67.258,61.5432,19.7502,8.56525,0.615979,0.384185,0.264104,0.0224687,0.324884,0.0233421
67.1541,61.1985,18.9248,6.99046,0.521868,0.412409,0.230805,0.0236911,0.185013,0.00841073
67.3969,60.9244,18.9872,6.61416,0.722894,0.460377,0.247902,0.019348,0.174632,0
67.14,60.3048,18.16,7.32186,0.43197,0.421065,0.228149,0.0197137,0.216346,0
67.1947,59.7291,17.0849,6.07203,0.633172,0.436127,0.203528,0.0183022,0.219432,0.0112789
67.2232,59.034,19.3343,5.49236,0.543419,0.440691,0.192601,0.0184547,0.17807,0
67.0155,58.5434,17.6045,5.74335,0.693662,0.41757,0.185957,0.0187795,0.23455,0.0683227
67.0051,58.2553,17.5725,4.23186,0.617517,0.394136,0.212629,0.021514,0.174985,0.00177311
66.9121,57.6796,16.2973,4.11405,0.743381,0.358479,0.212163,0.0194624,0.134964,0.00322219
66.7566,56.7563,15.2798,5.61178,0.660073,0.362659,0.211144,0.0171691,0.159736,0
66.5352,56.4271,15.37,5.73787,0.517482,0.336602,0.227447,0.0199325,0.161243,0.0101687
66.7023,55.9597,15.1004,5.1657,0.582108,0.414204,0.219932,0.0182413,0.0857808,0
66.7628,55.2771,15.322,4.49337,0.477099,0.346334,0.222437,0.0198708,0.265558,0.00640309
66.7538,54.4463,14.8111,7.13028,0.394078,0.352846,0.258493,0.0180243,0.157244,0
66.7498,53.8391,13.8341,2.97526,0.693169,0.392486,0.215825,0.0189143,0.0922701,0
66.4344,53.7328,14.8816,0.46815,0.580504,0.447873,0.224818,0.0154279,0.155674,0.119695
66.6936,53.1087,15.1575,0.521476,0.583373,0.360603,0.211262,0.0126292,0.193286,0.005051
66.6713,52.34,14.2292,0.700878,0.468968,0.341364,0.225186,0.0154927,0.158969,0
66.4265,52.0977,13.0294,0.65172,0.56289,0.434668,0.195039,0.0151594,0.270628,0.00687805
66.3391,51.3063,13.8648,1.35855,0.584525,0.409812,0.264977,0.0160259,0.122575,0
66.0837,50.8472,12.612,5.40193,0.470547,0.434281,0.241527,0.0167189,0.17699,0.00933024
65.932,49.9697,13.2332,3.51335,0.378958,0.37491,0.190495,0.0182903,0.163503,0.0459349
66.4961,50.0199,12.0671,2.16989,0.505275,0.374633,0.195935,0.0140034,0.180846,1.16795
66.1899,49.2473,14.184,3.44821,0.673302,0.388537,0.210286,0.0143766,0.0751218,0
65.802,48.418,11.8802,5.6786,0.368027,0.388963,0.179648,0.0180552,0.179724,0
65.8006,48.0815,13.1596,1.76612,0.521693,0.355874,0.21172,0.0182394,0.137754,0
65.9035,47.7779,12.4809,0.809591,0.56438,0.38112,0.212197,0.0153076,0.175471,0.00731699
65.8409,47.1153,11.6785,0.788025,0.386081,0.357828,0.188369,0.014931,0.214242,0
65.5778,46.7817,11.0576,0.00105315,0.429629,0.372681,0.187003,0.0137655,0.182336,0.289402
65.8268,46.1087,8.20588,0.323466,0.622119,0.344021,0.20314,0.0115778,0.137791,0.212528
65.3902,45.8491,10.1418,0.776415,0.452826,0.385932,0.24013,0.0144767,0.139447,0
65.6174,45.3031,9.13713,0.447152,0.570713,0.333868,0.240942,0.0135716,0.123849,0.00365899
65.6581,45.2364,9.17948,0.825757,0.517312,0.37073,0.192601,0.0164798,0.24045,0.12818
65.8263,45.1166,9.97072,0.654994,0.568532,0.351128,0.205729,0.0129992,0.152813,0
65.2445,44.1147,9.22284,1.09693,0.53602,0.438795,0.184483,0.011453,0.226603,0.00624621
65.5357,43.4614,7.75538,0.515594,0.343043,0.3935,0.182431,0.0149098,0.191587,0
65.331,43.0084,7.43005,0.341722,0.484288,0.333537,0.22735,0.0165111,0.203678,0.145716
65.4577,42.0936,7.76063,0.287506,0.519377,0.343387,0.174544,0.0137789,0.106857,0
65.1407,41.5203,6.69739,0.470339,0.572056,0.349343,0.196524,0.0188699,0.21342,0
65.2317,40.9797,7.2441,0.396502,0.59106,0.347239,0.216276,0.012655,0.239948,0
64.7489,41.3242,9.69778,1.39595,0.800165,0.345246,0.246757,0.0101232,0.156371,0
65.2053,41.3566,8.71563,0.575715,0.343678,0.342962,0.226232,0.0137779,0.17032,0.00818751
64.7506,40.4933,10.4582,0.4282,0.529674,0.305342,0.191633,0.0149036,0.219669,0.00855572
64.4178,39.8595,5.24102,0.134321,0.292272,0.378671,0.18857,0.0130034,0.12114,0.00815758
64.7755,39.4144,4.58432,0.148436,0.283788,0.354084,0.182251,0.0146776,0.118425,0.00538089
64.7807,38.773,6.03171,0.631445,0.487684,0.327082,0.220766,0.0107599,0.195087,0
64.6183,38.6656,5.72907,0.128716,0.494547,0.414799,0.216952,0.00887713,0.128024,0
64.1005,38.1355,5.10027,0.452204,0.718048,0.366755,0.189567,0.0103875,0.133672,0.00549483
64.4864,37.8205,7.01362,0.275465,0.612896,0.354226,0.209049,0.0110199,0.219456,0
64.4765,37.5857,5.01948,0.230205,0.579618,0.32867,0.168473,0.011189,0.129364,0
64.0107,37.1984,5.69335,1.93351,0.516229,0.300674,0.20033,0.0108103,0.140116,0
64.0897,36.4532,7.48747,0.971915,0.521396,0.289178,0.194969,0.00882108,0.154511,0
63.9331,36.086,5.84233,0.288788,0.677064,0.39876,0.20807,0.00794225,0.101169,0
63.7197,35.8129,4.03127,0.561831,0.577659,0.319409,0.201366,0.00927272,0.0971562,0
64.1904,35.3869,3.10839,0.037451,0.582288,0.285079,0.18305,0.00939423,0.169236,0
63.8952,34.9377,3.9971,0.202294,0.402687,0.319656,0.198334,0.0110779,0.200618,0.0220132
63.3974,35.2468,2.86103,0.429696,0.209208,0.394651,0.159925,0.0105934,0.152557,0
63.3432,34.8353,2.2305,0.623179,0.28993,0.28689,0.222809,0.00903244,0.234067,0
62.9748,34.2758,2.1346,0,0.681212,0.367543,0.202234,0.00896647,0.16214,0
63.0627,34.5569,2.81481,0,0.572332,0.30622,0.136485,0.010955,0.0707203,0
62.8642,34.051,1.99226,0.289648,0.435327,0.334167,0.169934,0.00850974,0.108251,0
62.8938,34.0041,1.42886,1.76248,0.459585,0.294141,0.133624,0.00974943,0.132969,0.00395039
62.7867,33.3589,2.31422,0.941239,0.405314,0.295737,0.161829,0.00735746,0.201923,0
63.2188,32.8193,2.39877,0.420668,0.46104,0.31996,0.168296,0.00769262,0.153298,0
63.2403,32.5821,1.64685,0.532407,0.494497,0.317575,0.147741,0.011625,0.0977238,0
62.9862,32.8143,2.25577,0,0.353833,0.303602,0.154096,0.00996975,0.054724,0
62.9044,32.2415,2.83268,0.657004,0.263789,0.25479,0.121112,0.0068766,0.152166,0
62.6425,32.3305,2.33674,0,0.314636,0.277138,0.150098,0.00857409,0.203984,0
62.0951,32.1772,2.66421,0.439124,0.417897,0.273362,0.127326,0.00665036,0.0308337,0
62.3396,31.6526,3.35913,0,0.482978,0.293111,0.156352,0.00917972,0.208563,0
62.1326,31.432,2.24153,0,0.385985,0.207405,0.180247,0.00629215,0.0329057,0.0410699
62.3538,31.4524,3.1812,0,0.527729,0.280735,0.144879,0.00613132,0.110793,0.00718557
62.3888,31.5756,1.48703,0.159081,0.515433,0.283646,0.172128,0.00722767,0.137803,0.00616314
62.4863,30.8552,2.00877,0.110336,0.345027,0.337111,0.146961,0.00753764,0.0586402,0
62.1345,30.8419,2.30308,0,0.623238,0.257578,0.191552,0.00845451,0.202741,0
61.9889,31.1318,1.45494,0,0.25204,0.289433,0.124095,0.00745367,0.229551,0
61.9205,31.6634,0.667276,0,0.40242,0.406063,0.133592,0.00613493,0.068496,0
61.8832,31.5028,0.535199,0,0.264856,0.321985,0.172893,0.00916067,0.0598441,0
61.7445,30.4854,1.91139,0,0.420365,0.322712,0.184676,0.005364,0.0679568,0
61.6165,30.0354,1.07122,0.194967,0.269772,0.27216,0.160596,0.00872848,0.208759,0
61.38,29.5868,0.251299,0,0.380112,0.234638,0.129863,0.0065125,0.230487,0
61.2119,29.9337,0.312574,0.161239,0.347499,0.282194,0.151477,0.00507949,0.0342695,7.55954e-05
60.955,29.5814,0.560626,0.0615244,0.195698,0.268738,0.141148,0.00772699,0.209177,0
60.6128,29.6934,4.50005,0.65981,0.496071,0.17404,0.171287,0.00711518,0.138681,0.00936765
60.4932,30.1063,0.208135,0.454771,0.621926,0.33359,0.154535,0.00537656,0.133146,0
60.5146,29.8017,0.564612,0.655348,0.458302,0.307387,0.141841,0.0060486,0.10702,0
