H,He,Li,Be,B,C,N,O,F,Ne
61.9439,65.7783,30.223,18.6363,0.633151,0.271365,0.175335,0.00976416,0.183979,0.186308
61.7189,65.4443,29.3929,17.4155,0.39754,0.231063,0.141536,0.0109218,0.182849,0
61.7901,65.0335,29.9772,17.0094,0.460258,0.265343,0.163187,0.0145421,0.148468,0.00777099
61.6178,64.9948,28.7236,19.3701,0.488998,0.222892,0.182579,0.009195,0.0844521,0
61.7223,64.1321,28.9052,16.917,0.462029,0.256063,0.154339,0.00921245,0.18814,1.02794
61.5654,63.5769,28.5742,16.952,0.485497,0.256963,0.141997,0.011065,0.0867674,0.136534
61.3463,63.2175,27.3397,15.4585,0.447061,0.240363,0.136833,0.0114395,0.113801,0.127014
61.311,62.8468,27.3048,15.5487,0.531455,0.243038,0.17466,0.00942497,0.165417,0.0436012
61.2537,61.828,26.6371,14.311,0.687476,0.237042,0.136739,0.00948903,0.130668,0.0279481
60.9632,61.1629,26.2868,13.9344,0.620497,0.223523,0.157163,0.0117713,0.0652447,0.0254116
60.8702,60.9561,25.0833,12.3029,0.341841,0.274607,0.135505,0.0131977,0.0750454,0.00456921
60.5262,60.3146,24.9931,12.6615,0.361488,0.229213,0.147398,0.0106174,0.160079,0.126925
60.5206,59.9966,24.175,12.9803,0.404787,0.230162,0.150619,0.00949937,0.140781,0
60.2104,59.5085,24.3145,11.8145,0.317002,0.242267,0.154956,0.00770743,0.202046,0.327643
60.1349,58.7813,23.966,11.2722,0.33299,0.262512,0.13683,0.0105812,0.112664,0.015332
60.2425,58.3198,24.0259,10.7548,0.401688,0.256039,0.141527,0.0112717,0.160404,0
60.0723,57.889,22.5708,12.1903,0.381616,0.271264,0.179681,0.00941036,0.152056,0.00287716
59.8308,57.3643,21.1487,10.0008,0.330765,0.301841,0.166226,0.0087065,0.0622247,0
59.8,57.0807,21.6665,11.7423,0.378205,0.241081,0.134724,0.0102438,0.134814,0
59.6749,56.3013,20.9767,9.3755,0.480533,0.277718,0.162515,0.00996022,0.19473,0
59.3495,55.8378,20.4132,9.82754,0.32008,0.270754,0.157618,0.0113818,0.195041,0.00519294
59.5503,55.5659,20.2266,9.16895,0.320732,0.245873,0.160682,0.00800305,0.0685234,0.0102601
59.2008,54.7518,20.6071,8.68765,0.335558,0.248994,0.131956,0.00883575,0.153014,0.182645
59.0425,54.2719,19.5509,8.42853,0.374499,0.225028,0.16584,0.00996035,0.141963,0
59.0711,53.6717,20.5514,6.09206,0.310533,0.276871,0.138502,0.00867112,0.0866864,0
58.8236,52.7842,20.6301,8.40782,0.34852,0.242393,0.138768,0.00962268,0.109332,0.00738927
58.5617,52.3596,20.0658,7.33245,0.409714,0.238792,0.134406,0.00662264,0.0751549,0.164951
58.2972,52.4017,19.8516,4.52546,0.380489,0.255504,0.162829,0.00791521,0.176692,0.0114087
58.3024,51.6115,17.8047,5.91329,0.351728,0.211422,0.160415,0.00807569,0.143765,0.196716
57.9783,51.3633,17.6882,4.16861,0.260266,0.240426,0.126559,0.0121916,0.102785,0
57.8914,50.6564,19.1302,5.21839,0.310957,0.209199,0.172391,0.0109117,0.120806,0
57.5326,50.5798,18.2011,3.46443,0.439266,0.24001,0.118029,0.00904087,0.18184,0
57.7578,49.3618,18.4337,2.74519,0.360311,0.247172,0.150624,0.00807918,0.0538544,0.0407349
57.7088,48.6692,16.6825,3.084,0.378634,0.220122,0.182198,0.00963406,0.0678643,0.0175032
57.5233,48.449,19.0738,1.96857,0.357638,0.27148,0.121317,0.00897717,0.0778005,0.00445989
57.4719,47.7915,18.3521,1.21613,0.452219,0.229889,0.186199,0.00819953,0.135266,0.00544975
57.2658,46.9917,18.5411,2.65012,0.342305,0.267441,0.148607,0.00851332,0.0978206,0.127916
57.1395,46.5269,17.0099,3.30016,0.288842,0.242571,0.147865,0.0079737,0.129181,0.0288556
56.9316,46.6039,18.7497,2.98716,0.43939,0.212573,0.144114,0.00857893,0.138104,0
56.8494,45.9057,17.3488,2.39255,0.297854,0.236586,0.140028,0.00973065,0.143316,0
56.3179,45.0398,18.13,3.09257,0.426726,0.256876,0.13749,0.00860201,0.180978,0.0255375
56.4575,45.0043,16.569,2.99593,0.477842,0.22206,0.127478,0.00725037,0.251299,0
56.4195,44.7144,14.6746,1.20619,0.334258,0.260109,0.143311,0.00792821,0.118849,0.0073514
56.1221,44.4629,15.7319,0.393764,0.437092,0.219135,0.172989,0.00717357,0.180609,0
55.7974,43.0976,16.4665,0.446403,0.326983,0.267934,0.133816,0.00580353,0.0734003,0
55.3929,42.4882,16.7068,0.483053,0.348658,0.241194,0.130848,0.00808266,0.212727,0
55.4962,42.5118,15.3337,0.0354833,0.324066,0.215811,0.132077,0.0103308,0.113945,0
55.4494,42.3123,15.776,0.21238,0.395496,0.228885,0.142388,0.00669121,0.121366,0
55.2951,41.9482,16.5298,0.45388,0.339626,0.247908,0.145597,0.00918207,0.0925868,0
55.0349,41.344,15.3695,0.341643,0.357654,0.190611,0.117604,0.00721194,0.126352,0
55.0404,40.5514,16.7949,0.154629,0.357467,0.213064,0.135732,0.00675643,0.171754,0
55.0275,39.8608,15.8475,0.167216,0.366311,0.220939,0.122676,0.0073487,0.0859621,0.434295
54.7887,39.329,15.1719,0.387241,0.270114,0.246219,0.150832,0.00689489,0.121381,0.0198701
54.5505,38.9889,15.6979,0.374028,0.351153,0.233965,0.137488,0.00764176,0.123224,0
54.4716,38.5408,16.4746,0.45491,0.227981,0.236268,0.146666,0.00743453,0.11664,0.0448738
54.6429,37.9201,11.8553,0.258418,0.40479,0.259347,0.167785,0.00766307,0.189724,0
54.2536,37.3066,12.5106,0.762275,0.296228,0.209098,0.109677,0.00748905,0.142161,0
53.8673,37.1253,15.1067,0.0717329,0.323231,0.231319,0.146774,0.00637248,0.141083,0
53.9592,36.7015,17.2481,0.620413,0.293382,0.212875,0.141096,0.00878986,0.26662,0
53.6933,36.4183,13.8331,0.573738,0.273891,0.22377,0.168461,0.00679583,0.107044,0.00436425
