H,He,Li,Be,B,C,N,O,F,Ne
58.5359,52.7357,20.6132,6.81676,0.371172,0.258892,0.143843,0.0119499,0.192717,0
58.5158,52.1119,20.0031,6.43282,0.267539,0.225269,0.167674,0.00864164,0.0758498,0.0696467
58.2923,51.3238,19.5784,5.12405,0.428448,0.265923,0.154131,0.00972942,0.144159,0.0156928
58.2862,51.1239,19.4307,4.30106,0.264452,0.262611,0.170253,0.0121549,0.234984,0
58.0816,50.5524,19.7519,3.46263,0.372341,0.245695,0.117445,0.0101422,0.0917207,0
57.8412,49.8595,18.5111,3.1611,0.298783,0.268711,0.139168,0.00924839,0.126392,0.0117611
57.6388,49.3259,19.3663,2.59136,0.410408,0.251424,0.234805,0.0085746,0.130989,0.000367612
57.5034,49.0931,17.8289,1.5072,0.376633,0.245617,0.145317,0.00934928,0.0906827,0.0850116
57.5492,48.2924,18.8139,0.960198,0.42649,0.264254,0.146223,0.00862204,0.120578,0.0291793
57.406,48.1578,17.2391,0.908734,0.411073,0.235075,0.144663,0.00757864,0.129694,0.00577375
57.0846,47.4496,16.4061,1.7868,0.28005,0.253571,0.124262,0.00998315,0.257757,0
56.9776,47.0519,17.6291,0.898555,0.284897,0.259023,0.143534,0.00986566,0.160581,0
57.2661,46.4955,16.1843,0.793375,0.405359,0.217048,0.181942,0.00877017,0.0871017,0
56.8276,45.4928,17.3052,0.441301,0.326314,0.252924,0.197544,0.00754809,0.145106,0
56.6259,45.313,18.1504,0.507189,0.311806,0.220116,0.161099,0.00820009,0.171883,0.0182383
56.2402,44.7461,17.1576,0.397018,0.285055,0.231034,0.176346,0.00959262,0.197932,0.481702
56.1299,44.2391,17.877,0.389711,0.349732,0.28158,0.195552,0.00837035,0.117922,0.169075
56.3007,43.5903,14.3083,0.425607,0.331984,0.257639,0.167913,0.0122911,0.208978,0.0066249
56.0253,42.7868,14.1337,0.793036,0.286168,0.262951,0.129585,0.00889762,0.0794054,0
55.8202,42.0146,15.045,0.514695,0.269819,0.257015,0.166103,0.00637977,0.136574,0.379452
55.6627,41.5931,13.7982,0.649499,0.346137,0.24882,0.171384,0.00741858,0.1995,0
55.5995,41.4777,13.2988,0.7895,0.451593,0.220422,0.162837,0.00621229,0.163294,0.00800359
55.5628,40.9761,14.3338,0.550443,0.266236,0.225706,0.117408,0.00801331,0.131194,0
55.6665,40.6421,14.8798,0.456969,0.215288,0.25741,0.151567,0.00792833,0.128198,0.00471753
55.6066,40.4343,14.156,0.876947,0.308238,0.247732,0.159724,0.0107749,0.0867393,0.00858348
55.47,39.4425,14.0764,0.532349,0.303594,0.257204,0.151465,0.00819333,0.118194,0.00658965
54.9326,39.397,13.1975,0.5908,0.247076,0.222733,0.135879,0.00807034,0.0575624,0
55.0786,38.8105,9.86417,0.277447,0.332428,0.234118,0.166571,0.00771014,0.151273,0.00914973
54.8427,38.476,10.4877,0.623712,0.538369,0.252163,0.170755,0.00809583,0.152889,0.00604997
54.6331,37.9779,12.6251,0.332656,0.415384,0.249059,0.18486,0.00710221,0.125569,0
54.517,36.8261,12.0531,0.584901,0.310037,0.316769,0.14209,0.00721581,0.0873889,0.089395
54.5149,36.4447,11.8929,0.473088,0.351321,0.217404,0.189298,0.00927819,0.151608,0.003652
54.3214,36.0346,11.6726,0.571122,0.27179,0.235721,0.158932,0.00822389,0.156289,0.100635
53.8268,35.736,11.5079,1.09885,0.232587,0.214438,0.181235,0.00688168,0.129561,0
53.9698,34.7637,10.5153,0.796308,0.320855,0.245727,0.175583,0.00793714,0.0834413,0
53.8624,34.9455,10.9059,0.335514,0.374968,0.219906,0.141465,0.00743308,0.137284,0
53.651,34.649,11.0015,0.538948,0.213106,0.227137,0.156801,0.00669018,0.0444507,0
53.7114,33.885,9.85762,0.679586,0.350176,0.307379,0.173783,0.00755485,0.0950976,0
53.7951,33.6057,10.3144,0.215705,0.345189,0.224927,0.179158,0.00571729,0.0598337,0
